Date,Time,Open,High,Low,Close,VWAP
11-Feb-26,09.15,15179,15324,15174,15281,15431.146408230186
11-Feb-26,10.15,15284,15417,15284,15343,15430.776596442916
11-Feb-26,11.15,15342,15398,15311,15380,15430.51842002782
11-Feb-26,12.15,15380,15388,15333,15375,15430.37584892255
11-Feb-26,13.15,15373,15404,15351,15396,15430.240878383338
11-Feb-26,14.15,15394,15414,15386,15406,15430.106964740971
11-Feb-26,15.15,15403,15432,15401,15415,15430.042393053733
12-Feb-26,09.15,15412,15420,15319,15362,15429.875342264068
12-Feb-26,10.15,15361,15400,15332,15373,15429.771671826968
12-Feb-26,11.15,15378,15440,15370,15410,15429.715898619055
12-Feb-26,12.15,15410,15426,15355,15356,15429.658950089402
12-Feb-26,13.15,15355,15390,15321,15336,15429.490046706524
12-Feb-26,14.15,15329,15369,15265,15335,15429.07059447884
12-Feb-26,15.15,15333,15340,15306,15328,15428.88468388645
13-Feb-26,09.15,15317,15370,15242,15276,15428.56071926624
13-Feb-26,10.15,15273,15354,15248,15328,15428.360159534404
13-Feb-26,11.15,15333,15434,15320,15409,15428.224412130752
13-Feb-26,12.15,15404,15412,15303,15314,15428.08755901936
13-Feb-26,13.15,15314,15325,15240,15285,15427.775560760076
13-Feb-26,14.15,15281,15315,15244,15254,15427.304600280644
