Date,Time,Open,High,Low,Close,EMA,Super Trend UP,Super Trend DN,EMA 100,EMA 200
23-Mar-26,15.03,130.49,130.56,130.0,130.56,132.02859649948724,,131.25603242539984,139.08879585293985,132.02859649948724
23-Mar-26,15.06,130.6,130.61,130.34,130.56,131.9995153806855,,131.25603242539984,139.07175530178512,131.9995153806855
23-Mar-26,15.09,130.61,130.91,130.5,130.7,131.97378240285013,,131.25603242539984,139.05502851796535,131.97378240285013
23-Mar-26,15.12,130.75,130.75,130.5,130.62,131.94697483051647,,131.25603242539984,139.03817531413327,131.94697483051647
23-Mar-26,15.15,130.65,130.72,130.5,130.66,131.92149018040723,,131.25603242539984,139.02143570311603,131.92149018040723
23-Mar-26,15.18,130.68,130.71,130.5,130.6,131.89532205802294,,131.25603242539984,139.00460965775517,131.89532205802294
23-Mar-26,15.21,130.58,130.58,130.5,130.5,131.8676919182601,,131.25603242539984,138.98761743066677,131.8676919182601
23-Mar-26,15.24,130.54,130.54,130.03,130.15,131.83367821690842,,131.25603242539984,138.9699598533827,131.83367821690842
23-Mar-26,15.27,130.15,130.2,129.0,129.48,131.78707072746468,,130.87977478245293,138.9509988946347,131.78707072746468
24-Mar-26,09.15,134.65,134.87,133.42,133.9,131.82891091107925,131.37620269579236,,138.9409069887513,131.82891091107925
24-Mar-26,09.18,134.35,135.05,133.4,133.57,131.86338792274103,131.37620269579236,,138.9301759058567,131.86338792274103
24-Mar-26,09.21,133.18,133.56,132.52,132.86,131.88312281536005,131.37620269579236,,138.91804768226856,131.88312281536005
24-Mar-26,09.24,132.77,133.34,132.77,133.2,131.90919959129351,131.37620269579236,,138.9066230115747,131.90919959129351
24-Mar-26,09.27,133.23,133.99,133.23,133.72,131.94505702512927,131.37620269579236,,138.8962601284347,131.94505702512927
24-Mar-26,09.30,133.73,133.73,133.25,133.5,131.97584797512673,131.37620269579236,,138.88547838991636,131.97584797512673
24-Mar-26,09.33,133.44,133.62,133.3,133.56,132.0072173221539,131.37620269579236,,138.874838073453,132.0072173221539
24-Mar-26,09.36,133.57,133.8,133.57,133.8,132.04271796923996,131.37620269579236,,138.8646985368427,132.04271796923996
24-Mar-26,09.39,133.71,133.71,133.31,133.38,132.06919880153222,131.37620269579236,,138.85374009820765,132.06919880153222
24-Mar-26,09.42,133.39,133.39,132.39,132.73,132.0822839737791,131.37620269579236,,138.8415048532562,132.0822839737791
24-Mar-26,09.45,132.62,132.66,132.25,132.32,132.0869912218231,131.37620269579236,,138.82847487352942,132.0869912218231
24-Mar-26,09.48,132.25,132.27,132.08,132.23,132.0898230788167,131.37620269579236,,138.81529110754835,132.0898230788167
24-Mar-26,09.51,132.15,132.22,132.07,132.08,132.08962856240447,131.37620269579236,,138.80183398245833,132.08962856240447
24-Mar-26,09.54,132.05,132.58,132.02,132.55,132.09874482849548,131.37620269579236,,138.7893428056702,132.09874482849548
24-Mar-26,09.57,132.5,132.5,132.2,132.29,132.1025320596144,131.37620269579236,,138.77635710575876,132.1025320596144
24-Mar-26,10.00,132.22,132.26,132.03,132.03,132.1010957812062,131.37620269579236,,138.76287787078223,132.1010957812062
24-Mar-26,10.03,132.09,132.09,131.32,131.41,132.08741071623183,131.37620269579236,,138.74818680610534,132.08741071623183
24-Mar-26,10.06,131.5,131.8,131.26,131.6,132.0777590188807,131.37620269579236,,138.73390471458464,132.0777590188807
24-Mar-26,10.09,131.59,131.61,131.31,131.59,132.0681004244474,131.37620269579236,,138.71963117869137,132.0681004244474
24-Mar-26,10.12,131.59,131.73,131.51,131.63,132.05942516851775,131.37620269579236,,138.70546608143124,132.05942516851775
24-Mar-26,10.15,131.63,131.63,131.52,131.61,132.05052566023028,131.37620269579236,,138.6912893260238,132.05052566023028
24-Mar-26,10.18,131.61,131.61,131.05,131.08,132.03130733032472,,132.7982402078945,138.676081954743,132.03130733032472
24-Mar-26,10.21,131.13,131.13,130.81,130.99,132.01068738318958,,132.38741618710506,138.66072514764062,132.01068738318958
24-Mar-26,10.24,130.99,131.05,130.84,130.85,131.98770347461158,,132.28367456839456,138.6451193031898,131.98770347461158
24-Mar-26,10.27,130.72,130.8,130.21,130.44,131.9570558810549,,131.9018071115551,138.6287254584282,131.9570558810549
24-Mar-26,10.30,130.46,130.46,130.0,130.4,131.92622309133105,,131.6251264003996,138.61228444852125,131.92622309133105
24-Mar-26,10.33,130.45,130.45,130.08,130.08,131.8896642182354,,131.6251264003996,138.59523692714558,131.8896642182354
24-Mar-26,10.36,130.09,130.31,130.09,130.25,131.8571956198545,,131.49895238432364,138.57856312709134,131.8571956198545
24-Mar-26,10.39,130.17,130.2,130.02,130.17,131.82378580559995,,131.3480571458913,138.5617628011631,131.82378580559995
24-Mar-26,10.42,130.19,130.45,130.14,130.17,131.79103757182568,,131.3480571458913,138.5449960423196,131.79103757182568
24-Mar-26,10.45,130.17,130.22,130.0,130.22,131.75992791693804,,131.26252628817196,138.52836268359368,131.75992791693804
24-Mar-26,10.48,130.16,130.63,130.1,130.4,131.7329986512561,,131.26252628817196,138.51212219871138,131.7329986512561
24-Mar-26,10.51,130.3,130.3,130.1,130.22,131.7030382819243,,131.26252628817196,138.49555452199067,131.7030382819243
24-Mar-26,10.54,130.2,130.25,130.06,130.21,131.67347316743076,,131.26198166407735,138.47899996750118,131.67347316743076
24-Mar-26,10.57,130.25,130.25,130.06,130.14,131.6431073621351,,131.2082834976696,138.46233862890475,131.6431073621351
24-Mar-26,11.00,130.14,130.2,130.08,130.12,131.61294682031067,,131.12395514790262,138.44567061965623,131.61294682031067
24-Mar-26,11.03,130.12,130.12,130.0,130.0,131.5810072793144,,130.9815596331124,138.42879615288368,131.5810072793144
24-Mar-26,11.06,130.02,130.05,129.8,129.86,131.5469279272488,,130.82940366980117,138.41167568104976,131.5469279272488
24-Mar-26,11.09,129.86,130.06,129.81,129.95,131.51530559205574,,130.82396330282103,138.3947692361326,131.51530559205574
24-Mar-26,11.12,129.96,130.07,129.95,129.96,131.48450746152,,130.82396330282103,138.3779165503461,131.48450746152
24-Mar-26,11.15,129.96,129.96,129.65,129.8,131.45115087812357,,130.65046027528504,138.3607778559398,131.45115087812357
24-Mar-26,11.18,129.8,131.08,129.79,130.94,131.44102907855677,129.60632543160543,,138.3459511269569,131.44102907855677
24-Mar-26,11.21,130.88,130.99,130.26,130.26,131.4176423641299,129.60632543160543,,138.3297953804495,131.4176423641299
24-Mar-26,11.24,130.38,130.49,130.22,130.35,131.39650093117683,129.60632543160543,,138.31385173333572,131.39650093117683
24-Mar-26,11.27,130.48,130.75,130.48,130.63,131.3813226949159,129.60632543160543,,138.29849938222017,131.3813226949159
24-Mar-26,11.30,130.69,130.69,130.22,130.35,131.3609004633334,129.60632543160543,,138.2826182645734,131.3609004633334
24-Mar-26,11.33,130.37,130.51,130.3,130.3,131.3398925333664,129.60632543160543,,138.26666897733148,131.3398925333664
24-Mar-26,11.36,130.35,130.49,130.22,130.23,131.31791446339875,129.60632543160543,,138.2506116966575,131.31791446339875
24-Mar-26,11.39,130.29,130.38,130.2,130.3,131.29775774135126,129.60632543160543,,138.23472635860224,131.29775774135126
24-Mar-26,11.42,130.3,130.3,130.1,130.14,131.2748318454829,129.60632543160543,,138.21855307916448,131.2748318454829
24-Mar-26,11.45,130.14,130.16,129.9,130.13,131.2521619079486,129.60632543160543,,138.20239213395138,131.2521619079486
24-Mar-26,11.48,130.13,130.13,129.86,129.95,131.22637652363278,129.60632543160543,,138.18590383797945,131.22637652363278
24-Mar-26,11.51,129.99,130.15,129.99,130.03,131.20268589940244,129.60632543160543,,138.16960832581566,131.20268589940244
24-Mar-26,11.54,130.12,131.14,130.0,131.14,131.20144459446377,129.60632543160543,,138.1555631543355,131.20144459446377
24-Mar-26,11.57,130.99,131.74,130.82,131.74,131.21210905793973,129.93186367431397,,138.14274484633484,131.21210905793973
24-Mar-26,12.00,131.83,131.86,131.39,131.5,131.21780986867358,130.27067730688253,,138.12947262885965,131.21780986867358
24-Mar-26,12.03,131.55,131.88,131.45,131.45,131.22240769305628,130.31710957619427,,138.11612702920158,131.22240769305628
24-Mar-26,12.06,131.45,131.9,131.28,131.9,131.23582536250072,130.31710957619427,,138.1037071949774,131.23582536250072
24-Mar-26,12.09,132.1,132.24,131.91,131.99,131.25075951373833,130.71380875671736,,138.09149199578664,131.25075951373833
24-Mar-26,12.12,131.91,132.11,131.91,132.1,131.26757615703065,130.7249278810456,,138.07952098280805,131.26757615703065
